tca	ncbi	ko	tcapathway	tcapathname
655882	XP_967535			
655883	XP_967536			
655884	XP_015836348	K14032		
655885	XP_008199089			
655886	XP_967539	K05542		
655887	XP_967540			
655889	XP_008194128	K16740		
655891	XP_967543	K08805		
655892	XP_008195772	K04911		
655893	XP_967545	K24926		
655894	XP_008192776			
655895	XP_008199809			
655896	XP_008199992	K00128	tca00010	Glycolysis / Gluconeogenesis - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00053	Ascorbate and aldarate metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00071	Fatty acid degradation - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00280	Valine, leucine and isoleucine degradation - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00310	Lysine degradation - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00330	Arginine and proline metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00340	Histidine metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00380	Tryptophan metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00410	beta-Alanine metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00561	Glycerolipid metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00620	Pyruvate metabolism - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00770	Pantothenate and CoA biosynthesis - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca00981	Insect hormone biosynthesis - Tribolium castaneum (red flour beetle)
655896	XP_008199992	K00128	tca01100	
655896	XP_008199992	K00128	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
655897	XP_008196727	K23438		
655898	XP_015839100			
655899	XP_015839551			
655900	XP_967551			
655901	XP_008200072			
655905	XP_008200969	K22531		
655906	XP_966409	K06669		
655907	XP_975792	K13344	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
655908	XP_008199688	K10456	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
655909	XP_966436			
655910	XP_967560	K03028	tca03050	Proteasome - Tribolium castaneum (red flour beetle)
655911	XP_967561	K10950	tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
655912	XP_967562	K00718	tca00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Tribolium castaneum (red flour beetle)
655912	XP_967562	K00718	tca00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Tribolium castaneum (red flour beetle)
655912	XP_967562	K00718	tca01100	
655913	XP_015838115	K19525		
655914	XP_001809966	K20284		
655915	XP_967565	K01432	tca00380	Tryptophan metabolism - Tribolium castaneum (red flour beetle)
655915	XP_967565	K01432	tca00630	Glyoxylate and dicarboxylate metabolism - Tribolium castaneum (red flour beetle)
655915	XP_967565	K01432	tca01100	
655915	XP_967565	K01432	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
655916	XP_015839629	K24720		
655917	XP_967567	K16729		
655919	XP_015840976	K04946		
655920	XP_967570	K15627		
655921	XP_967571	K02989	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
655923	XP_967572	K18164		
655924	NP_001153714	K24070	tca03410	Base excision repair - Tribolium castaneum (red flour beetle)
655924	NP_001153714	K24070	tca04214	Apoptosis - fly - Tribolium castaneum (red flour beetle)
655925	XP_015833715	K21879		
655926	XP_001807591	K03377		
655927	XP_008191346	K09578	tca03250	Viral life cycle - HIV-1 - Tribolium castaneum (red flour beetle)
655928	XP_015833966	K02974	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
655929	XP_015834024	K10730		
655930	XP_008191442	K09667	tca00514	Other types of O-glycan biosynthesis - Tribolium castaneum (red flour beetle)
655930	XP_008191442	K09667	tca03083	Polycomb repressive complex - Tribolium castaneum (red flour beetle)
655931	XP_015834111	K08018		
655932	XP_008200417	K14209		
655933	XP_008191743	K09336		
655934	XP_976155			
655935	XP_967583	K03868	tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
655935	XP_967583	K03868	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
655935	XP_967583	K03868	tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
655935	XP_967583	K03868	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
655935	XP_967583	K03868	tca04341	Hedgehog signaling pathway - fly - Tribolium castaneum (red flour beetle)
655935	XP_967583	K03868	tca04350	TGF-beta signaling pathway - Tribolium castaneum (red flour beetle)
655936	XP_015835220			
655937	XP_008193212	K09228		
655939	XP_008193533			
655941	XP_967589			
655942	XP_008201610			
655943	XP_015836274	K13806	tca04745	Phototransduction - fly - Tribolium castaneum (red flour beetle)
655944	XP_015836487	K15502		
655945	XP_008194924			
655946	XP_008194992	K02353	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
655946	XP_008194992	K02353	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
655946	XP_008194992	K02353	tca04330	Notch signaling pathway - Tribolium castaneum (red flour beetle)
655947	XP_008196251			
655948	XP_967596	K06639		
655949	XP_967597	K11672	tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
655951	XP_967599	K01904	tca00130	Ubiquinone and other terpenoid-quinone biosynthesis - Tribolium castaneum (red flour beetle)
655951	XP_967599	K01904	tca01100	
655952	XP_967600	K10908		
655953	XP_008196610	K26232		
655954	NP_001164280	K10260	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
655955	XP_967603	K02354	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
655955	XP_967603	K02354	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
655956	XP_008197183	K21437		
655957	XP_967605	K01719	tca00860	Porphyrin metabolism - Tribolium castaneum (red flour beetle)
655957	XP_967605	K01719	tca01100	
655957	XP_967605	K01719	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
655958	XP_015838843			
655960	XP_008198181			
655963	XP_008199271	K20027		
655964	XP_015838591	K10424	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
655966	XP_967613			
655967	XP_008199604	K19041		
655968	XP_967615	K14560	tca03008	Ribosome biogenesis in eukaryotes - Tribolium castaneum (red flour beetle)
655969	XP_008196143	K19201		
655970	XP_967617	K09560		
655971	XP_015840196			
655972	XP_008199810	K12385	tca03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus - Tribolium castaneum (red flour beetle)
655972	XP_008199810	K12385	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
655973	XP_967620	K23388	tca03060	Protein export - Tribolium castaneum (red flour beetle)
655974	XP_008199865			
655975	XP_967622	K03754		
655976	XP_001809298	K13752		
655977	XP_008199871	K01081	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
655977	XP_008199871	K01081	tca00240	Pyrimidine metabolism - Tribolium castaneum (red flour beetle)
655977	XP_008199871	K01081	tca00760	Nicotinate and nicotinamide metabolism - Tribolium castaneum (red flour beetle)
655977	XP_008199871	K01081	tca01100	
655977	XP_008199871	K01081	tca01232	Nucleotide metabolism - Tribolium castaneum (red flour beetle)
655978	XP_008200035	K05463		
655979	XP_008200074	K14010	tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
655981	XP_015835251	K24626		
655982	XP_008190865	K00106	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
655982	XP_008190865	K00106	tca00232	Caffeine metabolism - Tribolium castaneum (red flour beetle)
655982	XP_008190865	K00106	tca00983	Drug metabolism - other enzymes - Tribolium castaneum (red flour beetle)
655982	XP_008190865	K00106	tca01100	
655982	XP_008190865	K00106	tca01232	Nucleotide metabolism - Tribolium castaneum (red flour beetle)
655982	XP_008190865	K00106	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
655983	XP_015840389	K11795		
655985	XP_008191445			
655986	NP_001153717	K01530		
655987	XP_008198443	K16449		
655988	XP_008200671	K08059		
655989	XP_008200820			
655990	XP_967640	K10799		
655991	XP_008200983	K22984		
655992	XP_967642	K15001		
655993	XP_967643	K01889	tca00970	Aminoacyl-tRNA biosynthesis - Tribolium castaneum (red flour beetle)
655994	XP_015839615	K01432	tca00380	Tryptophan metabolism - Tribolium castaneum (red flour beetle)
655994	XP_015839615	K01432	tca00630	Glyoxylate and dicarboxylate metabolism - Tribolium castaneum (red flour beetle)
655994	XP_015839615	K01432	tca01100	
655994	XP_015839615	K01432	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
655995	XP_008198899	K02128	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
655995	XP_008198899	K02128	tca01100	
655996	XP_967646	K15631	tca00790	Folate biosynthesis - Tribolium castaneum (red flour beetle)
655996	XP_967646	K15631	tca01100	
655997	XP_967647	K25543		
655998	XP_967648			
655999	XP_967649	K22763		
656000	XP_967650			
656001	XP_967651			
656003	XP_008193409	K03164		
656004	XP_967654	K17408		
656005	XP_976161			
656006	XP_015834098	K06768		
656007	XP_015834114	K09228		
656008	XP_967657	K23562		
656009	XP_008200423	K14209		
656010	XP_967659	K02874	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656011	XP_967660			
656012	XP_967661			
656013	XP_967662			
656014	XP_967663	K20292		
656016	NP_001153720	K06842		
656017	XP_008193622	K11255		
656018	XP_967667	K15284		
656019	XP_967668	K01053	tca00030	Pentose phosphate pathway - Tribolium castaneum (red flour beetle)
656019	XP_967668	K01053	tca00053	Ascorbate and aldarate metabolism - Tribolium castaneum (red flour beetle)
656019	XP_967668	K01053	tca01100	
656019	XP_967668	K01053	tca01200	Carbon metabolism - Tribolium castaneum (red flour beetle)
656019	XP_967668	K01053	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
656020	XP_967669	K10147		
656022	XP_015836504			
656023	XP_008194996	K15186		
656024	XP_967673	K03065	tca03050	Proteasome - Tribolium castaneum (red flour beetle)
656025	XP_008198288	K18468	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656026	XP_967675	K08745		
656027	NP_001092296	K20730	tca00511	Other glycan degradation - Tribolium castaneum (red flour beetle)
656027	NP_001092296	K20730	tca00513	Various types of N-glycan biosynthesis - Tribolium castaneum (red flour beetle)
656027	NP_001092296	K20730	tca01100	
656028	XP_015837908			
656030	XP_976162			
656031	XP_967679	K06636		
656032	XP_008196917	K17543		
656033	XP_967681			
656034	XP_967682	K08576		
656035	XP_967683	K02878	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656036	XP_008197640	K00629	tca00561	Glycerolipid metabolism - Tribolium castaneum (red flour beetle)
656036	XP_008197640	K00629	tca00564	Glycerophospholipid metabolism - Tribolium castaneum (red flour beetle)
656036	XP_008197640	K00629	tca01100	
656037	XP_967685			
656038	XP_008196009			
656039	XP_967687	K06497	tca03272	Virion - Hepatitis viruses - Tribolium castaneum (red flour beetle)
656039	XP_967687	K06497	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
656040	XP_008198379			
656041	XP_008198442			
656042	XP_967690	K25006		
656043	XP_015833663	K05643	tca02010	ABC transporters - Tribolium castaneum (red flour beetle)
656045	XP_008199303	K07305		
656046	XP_967694	K09090		
656047	XP_015833424	K06275		
656048	XP_008193932	K09585		
656049	XP_967697	K03687		
656052	XP_008192794	K05870	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
656053	XP_967701	K18726		
656054	XP_001807559	K09037		
656055	XP_015834953	K24786		
656056	XP_967704	K12877	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
656056	XP_967704	K12877	tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
656056	XP_967704	K12877	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
656057	XP_967705	K11099	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
656058	XP_967706	K17797		
656059	XP_015839887	K00106	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
656059	XP_015839887	K00106	tca00232	Caffeine metabolism - Tribolium castaneum (red flour beetle)
656059	XP_015839887	K00106	tca00983	Drug metabolism - other enzymes - Tribolium castaneum (red flour beetle)
656059	XP_015839887	K00106	tca01100	
656059	XP_015839887	K00106	tca01232	Nucleotide metabolism - Tribolium castaneum (red flour beetle)
656059	XP_015839887	K00106	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
656060	XP_008200728	K23690		
656061	XP_966584	K07374	tca04145	Phagosome - Tribolium castaneum (red flour beetle)
656061	XP_966584	K07374	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
656062	XP_008191173	K22182	tca00450	Selenocompound metabolism - Tribolium castaneum (red flour beetle)
656063	XP_966594	K09276		
656064	XP_008194238	K00111	tca00564	Glycerophospholipid metabolism - Tribolium castaneum (red flour beetle)
656066	XP_008199103	K01587	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
656066	XP_008199103	K01587	tca01100	
656067	XP_008198462	K23840	tca00514	Other types of O-glycan biosynthesis - Tribolium castaneum (red flour beetle)
656068	XP_967713	K07941	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656069	XP_967714			
656070	XP_967715	K07885		
656072	XP_008198714	K19682		
656073	XP_001807794	K13499	tca00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Tribolium castaneum (red flour beetle)
656073	XP_001807794	K13499	tca01100	
656074	XP_008198814			
656075	XP_967719			
656076	XP_015840573			
656078	XP_967722	K25543		
656079	XP_967723	K19932		
656080	XP_967724	K15001		
656081	XP_967725	K20471		
656083	XP_967727	K17413		
656084	XP_015833659	K24728		
656085	XP_967729	K23362	tca00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Tribolium castaneum (red flour beetle)
656085	XP_967729	K23362	tca01100	
656086	XP_008193431			
656087	XP_008191347	K01915	tca00220	Arginine biosynthesis - Tribolium castaneum (red flour beetle)
656087	XP_008191347	K01915	tca00250	Alanine, aspartate and glutamate metabolism - Tribolium castaneum (red flour beetle)
656087	XP_008191347	K01915	tca00630	Glyoxylate and dicarboxylate metabolism - Tribolium castaneum (red flour beetle)
656087	XP_008191347	K01915	tca00910	Nitrogen metabolism - Tribolium castaneum (red flour beetle)
656087	XP_008191347	K01915	tca01100	
656087	XP_008191347	K01915	tca01230	Biosynthesis of amino acids - Tribolium castaneum (red flour beetle)
656088	XP_967732	K17419		
656089	XP_967733	K05610	tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
656091	XP_008199318	K12492	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656093	XP_967737	K09108		
656094	XP_008192419	K08029		
656095	XP_967739	K02835		
656096	XP_015835221			
656097	NP_001161087	K09632		
656099	XP_967743	K22558		
656100	XP_008193535			
656101	NP_001107838	K09452		
656102	XP_967746	K02537		
656103	XP_008194060	K01053	tca00030	Pentose phosphate pathway - Tribolium castaneum (red flour beetle)
656103	XP_008194060	K01053	tca00053	Ascorbate and aldarate metabolism - Tribolium castaneum (red flour beetle)
656103	XP_008194060	K01053	tca01100	
656103	XP_008194060	K01053	tca01200	Carbon metabolism - Tribolium castaneum (red flour beetle)
656103	XP_008194060	K01053	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
656104	XP_967748	K09498		
656105	XP_967749	K07253	tca00350	Tyrosine metabolism - Tribolium castaneum (red flour beetle)
656105	XP_967749	K07253	tca00360	Phenylalanine metabolism - Tribolium castaneum (red flour beetle)
656105	XP_967749	K07253	tca01100	
656106	XP_008201637	K11833		
656108	XP_015836483	K08077		
656109	XP_008194927	K13356	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
656110	XP_008194994	K00747	tca00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Tribolium castaneum (red flour beetle)
656110	XP_008194994	K00747	tca01100	
656111	XP_015837263	K21915		
656112	XP_967755	K22900		
656113	XP_976168	K20189		
656114	XP_967756	K16747		
656115	XP_967757	K13356	tca04146	Peroxisome - Tribolium castaneum (red flour beetle)
656116	XP_967758			
656117	XP_967759	K22984		
656118	XP_967760			
656119	XP_008197338	K17599		
656120	XP_967762			
656122	XP_008197968			
656123	XP_967765	K25777		
656124	XP_967766	K04507	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
656125	XP_015833696	K00816	tca00270	Cysteine and methionine metabolism - Tribolium castaneum (red flour beetle)
656125	XP_015833696	K00816	tca00380	Tryptophan metabolism - Tribolium castaneum (red flour beetle)
656125	XP_015833696	K00816	tca00450	Selenocompound metabolism - Tribolium castaneum (red flour beetle)
656125	XP_015833696	K00816	tca01100	
656126	XP_015838589	K03142	tca03022	Basal transcription factors - Tribolium castaneum (red flour beetle)
656126	XP_015838589	K03142	tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
656127	XP_015835465	K04409	tca04392	Hippo signaling pathway - multiple species - Tribolium castaneum (red flour beetle)
656128	XP_967770	K23564		
656129	XP_967771	K06875		
656130	XP_967772	K08991	tca03440	Homologous recombination - Tribolium castaneum (red flour beetle)
656130	XP_967772	K08991	tca03460	Fanconi anemia pathway - Tribolium castaneum (red flour beetle)
656132	XP_015838577	K17594		
656133	XP_967775	K27309		
656134	XP_008192847	K01755	tca00220	Arginine biosynthesis - Tribolium castaneum (red flour beetle)
656134	XP_008192847	K01755	tca00250	Alanine, aspartate and glutamate metabolism - Tribolium castaneum (red flour beetle)
656134	XP_008192847	K01755	tca01100	
656134	XP_008192847	K01755	tca01230	Biosynthesis of amino acids - Tribolium castaneum (red flour beetle)
656135	XP_967777	K12876	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
656135	XP_967777	K12876	tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
656135	XP_967777	K12876	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
656136	XP_008199833			
656137	XP_967779	K10732		
656138	XP_008199902	K26076		
656139	XP_967781	K13121		
656140	XP_967782	K05749		
656141	XP_967783	K10485		
656142	NP_001164359	K14999		
656144	XP_967786			
656145	XP_008190882			
656146	XP_967788	K03064	tca03050	Proteasome - Tribolium castaneum (red flour beetle)
656150	XP_008198902	K11982		
656151	XP_008191354			
656152	XP_015835730	K01053	tca00030	Pentose phosphate pathway - Tribolium castaneum (red flour beetle)
656152	XP_015835730	K01053	tca00053	Ascorbate and aldarate metabolism - Tribolium castaneum (red flour beetle)
656152	XP_015835730	K01053	tca01100	
656152	XP_015835730	K01053	tca01200	Carbon metabolism - Tribolium castaneum (red flour beetle)
656152	XP_015835730	K01053	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
656153	XP_015838480	K12462		
656154	XP_966346			
656155	NP_001127849	K06225	tca04341	Hedgehog signaling pathway - fly - Tribolium castaneum (red flour beetle)
656156	XP_015839228	K08619		
656157	XP_967795	K20031		
656158	XP_967796	K18809	tca04624	Toll and Imd signaling pathway - Tribolium castaneum (red flour beetle)
656159	XP_008198645	K00681	tca00430	Taurine and hypotaurine metabolism - Tribolium castaneum (red flour beetle)
656159	XP_008198645	K00681	tca00480	Glutathione metabolism - Tribolium castaneum (red flour beetle)
656159	XP_008198645	K00681	tca01100	
656160	NP_001128383	K02863	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656161	XP_967799			
656162	XP_967800	K02907	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656163	XP_967801	K27304		
656164	XP_967802	K03841	tca00010	Glycolysis / Gluconeogenesis - Tribolium castaneum (red flour beetle)
656164	XP_967802	K03841	tca00030	Pentose phosphate pathway - Tribolium castaneum (red flour beetle)
656164	XP_967802	K03841	tca00051	Fructose and mannose metabolism - Tribolium castaneum (red flour beetle)
656164	XP_967802	K03841	tca01100	
656164	XP_967802	K03841	tca01200	Carbon metabolism - Tribolium castaneum (red flour beetle)
656165	XP_015840965			
656166	XP_008190392			
656167	XP_015833074	K04707	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
656167	XP_015833074	K04707	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656168	XP_008190823			
656169	XP_008191066	K14536	tca03008	Ribosome biogenesis in eukaryotes - Tribolium castaneum (red flour beetle)
656170	XP_967808	K24412		
656171	XP_967809	K23490		
656172	XP_967810	K27342		
656173	XP_967811	K00934	tca00330	Arginine and proline metabolism - Tribolium castaneum (red flour beetle)
656174	XP_015833920	K09255	tca04624	Toll and Imd signaling pathway - Tribolium castaneum (red flour beetle)
656174	XP_015833920	K09255	tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
656175	XP_008191391	K01183	tca00520	Amino sugar and nucleotide sugar metabolism - Tribolium castaneum (red flour beetle)
656175	XP_008191391	K01183	tca01100	
656177	XP_967815	K21198		
656179	XP_967817	K26269	tca03083	Polycomb repressive complex - Tribolium castaneum (red flour beetle)
656180	XP_015835094	K26153		
656181	XP_967819			
656183	XP_967820	K10754	tca03030	DNA replication - Tribolium castaneum (red flour beetle)
656183	XP_967820	K10754	tca03410	Base excision repair - Tribolium castaneum (red flour beetle)
656183	XP_967820	K10754	tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
656183	XP_967820	K10754	tca03430	Mismatch repair - Tribolium castaneum (red flour beetle)
656185	NP_001161129			
656186	XP_967823	K10703	tca00062	Fatty acid elongation - Tribolium castaneum (red flour beetle)
656186	XP_967823	K10703	tca01040	Biosynthesis of unsaturated fatty acids - Tribolium castaneum (red flour beetle)
656186	XP_967823	K10703	tca01100	
656186	XP_967823	K10703	tca01212	Fatty acid metabolism - Tribolium castaneum (red flour beetle)
656187	XP_015835755	K22076		
656188	XP_008194065			
656189	XP_967826	K02087		
656190	XP_967827	K11586	tca03083	Polycomb repressive complex - Tribolium castaneum (red flour beetle)
656191	XP_967828	K20819		
656193	NP_001280512	K04646	tca04142	Lysosome - Tribolium castaneum (red flour beetle)
656193	NP_001280512	K04646	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656195	XP_967831	K08658	tca00900	Terpenoid backbone biosynthesis - Tribolium castaneum (red flour beetle)
656196	XP_008195083	K21066		
656197	XP_015836667	K27411		
656198	XP_008195382			
656199	XP_967835			
656200	XP_967836	K09595		
656201	XP_967837	K23600	tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
656202	XP_967838	K26232		
656203	XP_967839	K21914		
656204	XP_008197054			
656205	XP_015838294			
656206	XP_967842	K16794	tca00565	Ether lipid metabolism - Tribolium castaneum (red flour beetle)
656206	XP_967842	K16794	tca01100	
656207	XP_967843	K14440		
656208	XP_967844	K02147	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
656208	XP_967844	K02147	tca01100	
656208	XP_967844	K02147	tca04145	Phagosome - Tribolium castaneum (red flour beetle)
656208	XP_967844	K02147	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
656209	XP_015838842			
656210	XP_008196003			
656211	XP_015839127	K13763	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
656211	XP_015839127	K13763	tca01100	
656212	XP_967848	K14356		
656214	XP_967850	K16185	tca04140	Autophagy - animal - Tribolium castaneum (red flour beetle)
656214	XP_967850	K16185	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
656215	XP_008199514	K12880	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
656215	XP_008199514	K12880	tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
656216	XP_967852			
656218	XP_015839294			
656219	XP_008192878			
656220	XP_008199813			
656221	XP_008199995	K12182	tca03250	Viral life cycle - HIV-1 - Tribolium castaneum (red flour beetle)
656221	XP_008199995	K12182	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
656221	XP_008199995	K12182	tca04145	Phagosome - Tribolium castaneum (red flour beetle)
656222	XP_008199832	K15278		
656223	XP_967859	K12655		
656225	XP_008200130	K13566	tca00250	Alanine, aspartate and glutamate metabolism - Tribolium castaneum (red flour beetle)
656225	XP_008200130	K13566	tca01100	
656229	XP_008200388	K17943		
656230	XP_008190892	K01691	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
656231	XP_008193596	K25461		
656232	XP_008199927	K11254		
656234	XP_967869	K27818		
656235	XP_001809758	K03233		
656236	XP_015838979	K18624		
656237	XP_008200052	K10105	tca00785	Lipoic acid metabolism - Tribolium castaneum (red flour beetle)
656237	XP_008200052	K10105	tca01100	
656237	XP_008200052	K10105	tca01240	Biosynthesis of cofactors - Tribolium castaneum (red flour beetle)
656238	XP_008198495	K26229		
656239	XP_008200673	K15013	tca00061	Fatty acid biosynthesis - Tribolium castaneum (red flour beetle)
656239	XP_008200673	K15013	tca00071	Fatty acid degradation - Tribolium castaneum (red flour beetle)
656239	XP_008200673	K15013	tca01100	
656239	XP_008200673	K15013	tca01212	Fatty acid metabolism - Tribolium castaneum (red flour beetle)
656240	XP_001813540	K00599		
656241	XP_008200945	K00602	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
656241	XP_008200945	K00602	tca00670	One carbon pool by folate - Tribolium castaneum (red flour beetle)
656241	XP_008200945	K00602	tca01100	
656242	XP_008198753	K09093		
656243	XP_967877			
656244	XP_008198901			
656245	XP_967879	K03105	tca03060	Protein export - Tribolium castaneum (red flour beetle)
656246	XP_967880			
656247	XP_015840970			
656248	XP_008190639	K00864	tca00561	Glycerolipid metabolism - Tribolium castaneum (red flour beetle)
656248	XP_008190639	K00864	tca01100	
656249	XP_008190770	K07532		
656250	XP_008190826	K02677	tca04070	Phosphatidylinositol signaling system - Tribolium castaneum (red flour beetle)
656250	XP_008190826	K02677	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
656250	XP_008190826	K02677	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
656250	XP_008190826	K02677	tca04745	Phototransduction - fly - Tribolium castaneum (red flour beetle)
656251	XP_008191110	K10401	tca04814	Motor proteins - Tribolium castaneum (red flour beetle)
656253	XP_008193443	K11975		
656254	XP_008191351			
656255	XP_967889	K03106	tca03060	Protein export - Tribolium castaneum (red flour beetle)
656256	XP_967890	K15448		
656259	XP_967893			
656260	XP_967894	K26153		
656261	XP_967895	K00522	tca00860	Porphyrin metabolism - Tribolium castaneum (red flour beetle)
656262	XP_967896	K04974		
656264	XP_015835609	K01064	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
656264	XP_015835609	K01064	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
656265	XP_967899	K02873	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656266	XP_967900	K13211		
656267	XP_967901	K14999		
656268	NP_001153721	K11594		
656269	XP_967903	K14797		
656270	NP_001300806	K04079	tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
656271	XP_967905			
656272	XP_015836233			
656273	XP_967907	K13109		
656274	XP_008201651			
656275	XP_967909			
656276	XP_967910	K02943	tca03010	Ribosome - Tribolium castaneum (red flour beetle)
656277	XP_967911			
656278	XP_008196256	K10297		
656279	XP_967913	K02268	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
656279	XP_967913	K02268	tca01100	
656280	XP_967914	K05925		
656281	XP_967915	K15046		
656282	XP_967916			
656283	XP_967917	K02734	tca03050	Proteasome - Tribolium castaneum (red flour beetle)
656284	XP_015837909	K10577	tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
656284	XP_015837909	K10577	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
656285	XP_967919	K20398	tca04150	mTOR signaling pathway - Tribolium castaneum (red flour beetle)
656286	XP_967920	K09084		
